year,value,indicator_name,country
2025,35064272,Total population,Ghana
2024,34427414,Total population,Ghana
2023,33787914,Total population,Ghana
2022,33149152,Total population,Ghana
2021,32518665,Total population,Ghana
2020,31887809,Total population,Ghana
2019,31258945,Total population,Ghana
2018,30637585,Total population,Ghana
2017,30008354,Total population,Ghana
2016,29356742,Total population,Ghana
2015,28696068,Total population,Ghana
2014,28041592,Total population,Ghana
2013,27386193,Total population,Ghana
2012,26734268,Total population,Ghana
2011,26095088,Total population,Ghana
2010,25474995,Total population,Ghana
2009,24862664,Total population,Ghana
2008,24249946,Total population,Ghana
2007,23642279,Total population,Ghana
2006,23040702,Total population,Ghana
2005,22449438,Total population,Ghana
2004,21868298,Total population,Ghana
2003,21296705,Total population,Ghana
2002,20729388,Total population,Ghana
2001,20167069,Total population,Ghana
2000,19637087,Total population,Ghana
1999,19149864,Total population,Ghana
1998,18688036,Total population,Ghana
1997,18238958,Total population,Ghana
1996,17810181,Total population,Ghana
1995,17399017,Total population,Ghana
1994,16993190,Total population,Ghana
1993,16589519,Total population,Ghana
1992,16184855,Total population,Ghana
1991,15787496,Total population,Ghana
1990,15394648,Total population,Ghana
1989,15006813,Total population,Ghana
1988,14636568,Total population,Ghana
1987,14289108,Total population,Ghana
1986,13965217,Total population,Ghana
1985,13661229,Total population,Ghana
1984,13370590,Total population,Ghana
1983,13029836,Total population,Ghana
1982,12643819,Total population,Ghana
1981,12281712,Total population,Ghana
1980,11941448,Total population,Ghana
1979,11597255,Total population,Ghana
1978,11248450,Total population,Ghana
1977,10911871,Total population,Ghana
1976,10594913,Total population,Ghana
1975,10294308,Total population,Ghana
1974,10000523,Total population,Ghana
1973,9714617,Total population,Ghana
1972,9438187,Total population,Ghana
1971,9176264,Total population,Ghana
1970,8925813,Total population,Ghana
1969,8690383,Total population,Ghana
1968,8475729,Total population,Ghana
1967,8271913,Total population,Ghana
1966,8074521,Total population,Ghana
