year,value,indicator_name,country
2025,14.2046755548989,Inflation rate %,Ghana
2024,22.8483281157842,Inflation rate %,Ghana
2023,38.1069656296501,Inflation rate %,Ghana
2022,31.2558951049016,Inflation rate %,Ghana
2021,9.9710886750444,Inflation rate %,Ghana
2020,9.88728956269944,Inflation rate %,Ghana
2019,7.14364003330857,Inflation rate %,Ghana
2018,7.80876516610703,Inflation rate %,Ghana
2017,12.3719215507048,Inflation rate %,Ghana
2016,17.4546347070868,Inflation rate %,Ghana
2015,17.1499695007878,Inflation rate %,Ghana
2014,15.4896160333318,Inflation rate %,Ghana
2013,11.6661923071729,Inflation rate %,Ghana
2012,11.1863409441067,Inflation rate %,Ghana
2011,8.7284593709302,Inflation rate %,Ghana
2010,10.7333898354915,Inflation rate %,Ghana
2009,19.2469482220857,Inflation rate %,Ghana
2008,16.494639613412,Inflation rate %,Ghana
2007,10.7342665456292,Inflation rate %,Ghana
2006,11.6791839392492,Inflation rate %,Ghana
2005,15.4389920155908,Inflation rate %,Ghana
2004,18.0427388232565,Inflation rate %,Ghana
2003,29.7729797160384,Inflation rate %,Ghana
2002,9.36093239560313,Inflation rate %,Ghana
2001,41.509496287803,Inflation rate %,Ghana
2000,40.240933123914,Inflation rate %,Ghana
1999,4.86539785077528,Inflation rate %,Ghana
1998,14.6241666666675,Inflation rate %,Ghana
1997,27.8852086407527,Inflation rate %,Ghana
1996,46.5610196762282,Inflation rate %,Ghana
1995,59.4615536991446,Inflation rate %,Ghana
1994,24.8702554369576,Inflation rate %,Ghana
1993,24.9598424742497,Inflation rate %,Ghana
1992,10.0561167448841,Inflation rate %,Ghana
1991,18.0314390089849,Inflation rate %,Ghana
1990,37.2590664855671,Inflation rate %,Ghana
1989,25.2236920295825,Inflation rate %,Ghana
1988,31.3592676264768,Inflation rate %,Ghana
1987,39.8150678775363,Inflation rate %,Ghana
1986,24.5654160765001,Inflation rate %,Ghana
1985,10.3054406698295,Inflation rate %,Ghana
1984,39.6653137947268,Inflation rate %,Ghana
1983,122.874514572592,Inflation rate %,Ghana
1982,22.2955664080893,Inflation rate %,Ghana
1981,116.503603996541,Inflation rate %,Ghana
1980,50.0701393436364,Inflation rate %,Ghana
1979,54.4412883345616,Inflation rate %,Ghana
1978,73.091666667343,Inflation rate %,Ghana
1977,116.450216453639,Inflation rate %,Ghana
1976,56.0810810829756,Inflation rate %,Ghana
1975,29.8245614048168,Inflation rate %,Ghana
1974,18.1347150268463,Inflation rate %,Ghana
1973,17.6829268231711,Inflation rate %,Ghana
1972,10.0671140939595,Inflation rate %,Ghana
1971,9.55882353746772,Inflation rate %,Ghana
1970,3.03030303053265,Inflation rate %,Ghana
1969,7.31707316260125,Inflation rate %,Ghana
1968,7.89473684210539,Inflation rate %,Ghana
1967,-8.42248589780283,Inflation rate %,Ghana
1966,13.2378854626539,Inflation rate %,Ghana
