year,value,indicator_name,country
2025,2.979,Unemployment %,Ghana
2024,2.82,Unemployment %,Ghana
2023,2.829,Unemployment %,Ghana
2022,2.87,Unemployment %,Ghana
2021,3.2,Unemployment %,Ghana
2020,3.178,Unemployment %,Ghana
2019,3.067,Unemployment %,Ghana
2018,3.204,Unemployment %,Ghana
2017,3.369,Unemployment %,Ghana
2016,5.256,Unemployment %,Ghana
2015,6.806,Unemployment %,Ghana
2014,4.403,Unemployment %,Ghana
2013,2.173,Unemployment %,Ghana
2012,3.126,Unemployment %,Ghana
2011,4.213,Unemployment %,Ghana
2010,5.384,Unemployment %,Ghana
2009,5.362,Unemployment %,Ghana
2008,5.144,Unemployment %,Ghana
2007,5.104,Unemployment %,Ghana
2006,4.897,Unemployment %,Ghana
2005,5.816,Unemployment %,Ghana
2004,6.758,Unemployment %,Ghana
2003,7.728,Unemployment %,Ghana
2002,8.711,Unemployment %,Ghana
2001,9.615,Unemployment %,Ghana
2000,10.456,Unemployment %,Ghana
1999,10.1,Unemployment %,Ghana
1998,8.2,Unemployment %,Ghana
1997,7.639,Unemployment %,Ghana
1996,7.091,Unemployment %,Ghana
1995,6.484,Unemployment %,Ghana
1994,5.9,Unemployment %,Ghana
1993,5.231,Unemployment %,Ghana
1992,4.7,Unemployment %,Ghana
1991,3.489,Unemployment %,Ghana
